Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000187634,SAMD11,0.07747878019026905,0.21831412031786934,0.694721213901804,0,-1.442433370820388,1,0.07530359657388488,0.09163804923707053,1
ENSG00000188976,NOC2L,0.27892360868496857,-0.3110095038772114,0.30005522635576953,0.5317668657633933,0.940423722709306,0.7520442668449588,0.30700697064737686,0.10676870749374534,0.8201351552766025
ENSG00000187961,KLHL17,0.042059909246146054,-0.6460307803245646,0.30934672115665074,0.059085207307043704,0.8909903629048035,1,0.06371842787021029,0.6614407427872204,0.35521758314313684
ENSG00000187583,PLEKHN1,0.01217523688704228,-0.8610436712954153,0.6134355389932907,0.029542603653521852,2.042993456349854,1,0.017377753055511896,0.733590528543056,0.8257813069457265
ENSG00000187642,PERM1,0.003320519151011531,-1.1240780771292087,0.6682548444324586,0,2.62795595707101,1,0.005792584351837299,1.4340302466841486,0.6034496893161267
ENSG00000188290,HES4,0.1649191178335727,-1.3382028824820564,0.00000004737265377288886,0.26588343288169664,0.4452636595548194,1,0.44602899509147204,1.406549510262041,0.00000003980693875488604
ENSG00000187608,ISG15,0.6397533564282216,-0.2595414944243275,0.18955940368737134,0.974905920566221,0.5779152745714143,0.8635623203250786,0.7240730439796623,0.15392232749141282,0.489750649994441
ENSG00000188157,AGRN,0.5545266982189256,-0.9598894452360409,0.000000012983605199832697,0.6794798840310026,0.07951933237496756,1,1.1585168703674598,1.0489083253095919,0.0000000029568086946863467
ENSG00000131591,C1orf159,0.0686240624542383,-0.6062297722665897,0.21180942379844725,0.14771301826760927,1.2310658045024252,0.9071336289210254,0.09268134962939678,0.43403024668414814,0.4892158071609641
ENSG00000162571,TTLL10,0.002213679434007687,-0.5391155764080526,1,0,3.3649215512372166,1,0,0.8490677459629925,1
ENSG00000186891,TNFRSF18,0.008854717736030748,-2.276081170574259,0.004845527624048434,0.029542603653521852,1.8624212107080327,1,0.04634067481469839,2.282027153239098,0.006646959385035373
ENSG00000186827,TNFRSF4,0.01881627518906534,-3.239555294549145,0.00000000000007514008992683717,0.11817041461408741,1.5713724287046422,0.8696889825880242,0.19694786796246816,3.1038816449918176,0.0000000000013360781022224124
ENSG00000078808,SDF4,1.8749864806045111,-0.1351007787259929,0.3858848083884835,2.2747804813211827,0.23810678988299927,1,2.0216119387912173,0.09407846996145863,0.5733326862625165
ENSG00000176022,B3GALT6,0.2202611036837649,-0.9231653832032125,0.00012428356047076107,0.35451124384226224,0.5522916871389376,1,0.4286512420359601,0.93492848261683,0.00026801317454295994
ENSG00000184163,C1QTNF12,0.005534198585019218,0.46088442359194737,0.6994118472854434,0,2.3649215512372157,1,0,-0.1509322540370075,1
ENSG00000160087,UBE2J2,0.30106040302504544,-0.7037462781808519,0.01879287691991605,0.35451124384226224,0.15047788301625897,1,0.5155400073135196,0.7710652339617188,0.014160576721581924
ENSG00000162572,SCNN1D,0.12396604830443049,-0.16188010984159318,0.7822319402919675,0.059085207307043704,-0.5840945200439789,1,0.15060719314776977,0.34342769790324157,0.42787324027301415
ENSG00000131584,ACAP3,0.37964602293231836,-0.7422074417855644,0.0002552586815985418,0.41359645114930593,0.008151707137552755,1,0.6777323691649639,0.8328575187817331,0.00007966925962942533
ENSG00000169972,PUSL1,0.07083774188824599,-1.008600859709273,0.011617423698018063,0.11817041461408741,0.7799590505160596,1,0.14481460879593247,1.0259455080470712,0.018790471283701968
ENSG00000127054,INTS11,0.6552491124662754,-0.49715228330436134,0.005311920580216982,0.8271929022986119,0.2456226228648717,1,0.9441912493494797,0.5131327930817504,0.0066393939751917186
ENSG00000224051,CPTP,0.28224412783598013,0.20349658089929545,0.5410472336274506,0.29542603653521854,0.19986230496671964,1,0.23170337407349195,-0.2637001841989579,0.4294635201905653
ENSG00000107404,DVL1,0.425026451329476,0.03837180375095661,0.968549584686616,0.3840538474957841,-0.07881138104209362,1,0.4170660733322855,-0.012769814979483485,1
ENSG00000162576,MXRA8,0.2722825703829455,-1.6755567326277365,0.00000000000000000456403536517091,0.7681076949915682,1.0573131276669205,0.3942890120871383,0.8920579901829441,1.6173975110385332,0.0000000000000017268343314034702
ENSG00000175756,AURKAIP1,1.3791222873867892,-0.25346025632371133,0.10707221657404543,1.2998745607549615,-0.1497851982826881,1,1.7146049681438404,0.3140760821777232,0.054428668407628764
ENSG00000221978,CCNL2,2.136200653817418,-0.3738525548542462,0.007557874053180703,2.983802969005707,0.3916884608000013,0.9061519317078536,2.7340998140672053,0.33104193325137743,0.02776902586756651
ENSG00000235098,ANKRD65,0.015495756038053811,0.19785001775815392,0.8509276247684487,0,0.8624212107080327,1,0.011585168703674598,0.11210215179678595,1
ENSG00000205116,TMEM88B,0.002213679434007687,-1.5391155764080526,0.5688819219941925,0,2.9498840519583727,1,0.005792584351837299,1.8490677459629925,0.5069421070403661
ENSG00000179403,VWA1,0.5578472173699371,-0.5702032541921498,0.05249459796675942,0.6794798840310026,0.18390737113309763,1,0.8573024840719202,0.6088046477878561,0.05113368064473262
ENSG00000215915,ATAD3C,0.03652571066112684,-0.03661523587886961,1,0,-0.407667952659712,1,0.04054809046286109,0.3465674054338086,0.7781731261758194
ENSG00000205090,TMEM240,0.016602595755057653,-1.583509695766506,0.03757758399535653,0.059085207307043704,1.9498840519583718,1,0.04634067481469839,1.4340302466841477,0.08847991907826455
ENSG00000160075,SSU72,0.6718517082213331,-0.24247277793143918,0.21927614005426854,0.5613094694169152,-0.28469390782619386,1,0.8399247310164084,0.3315331727621265,0.10265846729469065
ENSG00000228594,FNDC10,0.009961557453034592,-2.7090405778503652,0.00005926026435809267,0.029542603653521852,1.4263220959013596,1,0.07530359657388488,2.7819535501044554,0.000052111641436450257
ENSG00000197530,MIB2,0.4028896569893991,-0.8119977681981936,0.00002963698578636997,0.6203946767239589,0.4726777315930989,1,0.7240730439796623,0.818853132915984,0.0000766113421437268
