Feature
1,ENSG00000175874
2,ENSG00000135569
3,ENSG00000169840
4,ENSG00000204701
5,ENSG00000130368
6,ENSG00000197891
7,ENSG00000086288
8,ENSG00000184716
9,ENSG00000171209
10,ENSG00000213892
11,ENSG00000142319
12,ENSG00000140932
13,ENSG00000280165
14,ENSG00000248767
15,ENSG00000237452
16,ENSG00000112053
17,ENSG00000114455
18,ENSG00000148156
19,ENSG00000135406
20,ENSG00000125207
21,ENSG00000166961
22,ENSG00000198471
23,ENSG00000095110
24,ENSG00000165084
25,ENSG00000122012
26,ENSG00000235034
27,ENSG00000233932
28,ENSG00000165685
29,ENSG00000189001
30,ENSG00000213927
31,ENSG00000224109
32,ENSG00000131142
33,ENSG00000178462
34,ENSG00000167634
35,ENSG00000135409
36,ENSG00000177324
37,ENSG00000143552
38,ENSG00000086506
39,ENSG00000186150
40,ENSG00000147246
41,ENSG00000182791
42,ENSG00000159337
43,ENSG00000257008
44,ENSG00000088053
45,ENSG00000197769
46,ENSG00000185915
47,ENSG00000131050
48,ENSG00000158901
49,ENSG00000145642
50,ENSG00000196420
51,ENSG00000232258
52,ENSG00000113073
53,ENSG00000268320
54,ENSG00000250423
55,ENSG00000178015
56,ENSG00000197632
57,ENSG00000182747
58,ENSG00000182255
59,ENSG00000204195
60,ENSG00000205221
61,ENSG00000165409
62,ENSG00000118322
63,ENSG00000175697
64,ENSG00000179796
65,ENSG00000188729
66,ENSG00000161610
67,ENSG00000112195
68,ENSG00000249715
69,ENSG00000180772
70,ENSG00000244025
71,ENSG00000172548
72,ENSG00000038295
73,ENSG00000189127
74,ENSG00000205592
75,ENSG00000243978
76,ENSG00000137473
77,ENSG00000148153
78,ENSG00000145879
79,ENSG00000197430
80,ENSG00000145526
81,ENSG00000075290
82,ENSG00000179002
83,ENSG00000181626
84,ENSG00000254440
85,ENSG00000112761
86,ENSG00000106536
87,ENSG00000152611
88,ENSG00000124092
89,ENSG00000145309
90,ENSG00000100285
91,ENSG00000260001
92,ENSG00000229674
93,ENSG00000109943
94,ENSG00000143107
95,ENSG00000205126
96,ENSG00000268964
97,ENSG00000134443
98,ENSG00000157703
99,ENSG00000111537
100,ENSG00000178597
101,ENSG00000008226
102,ENSG00000198838
103,ENSG00000091137
104,ENSG00000129167
105,ENSG00000169347
106,ENSG00000140795
107,ENSG00000180929
108,ENSG00000196240
109,ENSG00000154143
110,ENSG00000204983
111,ENSG00000126500
112,ENSG00000162670
113,ENSG00000205922
114,ENSG00000227868
115,ENSG00000177182
116,ENSG00000168907
117,ENSG00000149575
118,ENSG00000188782
119,ENSG00000135248
120,ENSG00000162374
121,ENSG00000047936
122,ENSG00000143105
123,ENSG00000186160
124,ENSG00000175513
125,ENSG00000131686
126,ENSG00000096006
127,ENSG00000167210
128,ENSG00000206104
129,ENSG00000180616
130,ENSG00000239732
131,ENSG00000131668
132,ENSG00000146385
133,ENSG00000125571
134,ENSG00000175985
